Dataset,Age,sex,PLT,MPV,Bodyweight,BMD,BMC,PctFat
CGDpheno1,11,m,1251,6,27.5,0.0475,,19.3
CGDpheno1,11,m,864,4.8,21.1,0.0443,,13.8
CGDpheno1,11,m,1237,6,25.6,0.0489,,16.9
CGDpheno1,11,m,,,26.7,0.0482,,19
CGDpheno1,11,m,1058,5.8,27.7,0.0531,,12.6
CGDpheno1,11,m,1191,6.1,25.7,0.0514,,15.2
CGDpheno1,11,m,1185,6.1,26.1,0.0491,,18.1
CGDpheno1,11,m,1340,5.9,27.1,0.0516,,18.9
CGDpheno1,11,m,1063,4.8,24.5,0.0502,,15.3
CGDpheno1,11,m,,,27,0.0529,,17.7
CGDpheno1,11,m,1139,6.1,24.6,0.0447,,20.9
CGDpheno1,11,m,1198,6.2,23.9,0.0452,,20
CGDpheno1,11,m,1161,5.2,26.6,0.0499,,20.6
CGDpheno1,11,m,1094,4.8,24.4,0.0459,,15.9
CGDpheno1,11,m,174,7.8,,,,
CGDpheno1,11,m,,,,,,
CGDpheno1,11,m,,,28.4,0.0467,,12.6
CGDpheno1,11,m,763,4.7,27.7,0.0509,,19
CGDpheno1,11,m,,,27.7,0.0495,,15.8
CGDpheno1,11,m,142,8.7,28.4,0.0503,,17.5
CGDpheno1,11,m,,,27.3,0.0506,,18.2
CGDpheno1,11,m,,,25.3,0.0472,,14.6
CGDpheno1,11,m,1179,6.5,28.3,0.051,,23.8
CGDpheno1,11,m,,,27.3,0.0498,,22.5
CGDpheno1,11,m,1177,6.3,31.9,0.0522,,26.1
CGDpheno1,11,m,1129,6,30.8,0.0528,,23.5
CGDpheno1,11,m,1080,5.5,28.3,0.0529,,15.2
CGDpheno1,11,m,965,4.8,27.9,0.0523,,13.2
CGDpheno1,11,m,,,,,,
CGDpheno1,11,m,968,4.7,,,,
CGDpheno1,11,m,1451,5.2,24.4,0.0501,,23.3
CGDpheno1,11,m,1198,5.8,27.7,0.0531,,21.4
CGDpheno1,11,m,1166,4.7,,,,
CGDpheno1,11,m,,,,,,
CGDpheno1,11,m,1100,5.3,28.9,0.0494,,15.1
CGDpheno1,11,m,1252,5.1,28.5,0.0523,,18.1
CGDpheno1,11,m,856,4.4,29.6,0.0523,,20.3
CGDpheno1,11,m,1375,5,28.8,0.0531,,21.6
CGDpheno1,11,m,877,5.9,30,0.0549,,16.6
CGDpheno1,11,m,,,27.5,0.0523,,15.3
CGDpheno1,11,m,1568,5.9,32.6,0.0559,,15.2
CGDpheno1,11,m,1344,5.3,28.6,0.0525,,10.3
CGDpheno1,11,m,1226,5.6,28.9,0.0534,,22.9
CGDpheno1,11,m,1390,5.7,28.3,0.0513,,23.1
CGDpheno1,11,m,1374,5.6,24.7,0.0478,,17.9
CGDpheno1,11,m,1406,5.5,26.8,0.05,,20.3
CGDpheno1,11,m,1218,5.3,224,0.0444,,17.4
CGDpheno1,11,m,996,4.7,27.1,0.0478,,17.6
CGDpheno1,11,m,1226,5.3,28.4,0.0539,,17.2
CGDpheno1,11,m,1606,6.1,26.4,0.0525,,14.2
CGDpheno1,11,m,368,5.5,23.4,0.044,,16.8
CGDpheno1,11,m,1489,5.7,25.9,0.049,,25.1
CGDpheno1,11,m,1419,5.6,,,,
CGDpheno1,11,m,1522,5.7,,,,
CGDpheno1,11,m,1343,5.5,,,,
CGDpheno1,11,m,1313,5.6,,,,
CGDpheno1,11,m,1739,7.3,27.5,0.0484,,21.1
CGDpheno1,11,m,1526,7.1,26.8,0.0484,,24.5
CGDpheno1,11,m,1522,7.1,28.4,0.0502,,23.7
CGDpheno1,11,m,1422,7.1,25.8,0.0454,,22.6
CGDpheno1,11,m,1429,6.3,28.2,0.0514,,21.1
CGDpheno1,11,m,1521,6.2,28.2,0.0554,,23.7
CGDpheno1,11,m,1530,7.2,29.4,0.0436,,20.5
CGDpheno1,11,m,1609,7.1,26.4,0.0461,,18.6
CGDpheno1,11,m,1477,7,23.1,0.0453,,19.3
CGDpheno1,11,m,1160,7.1,29.6,0.0501,,21.1
CGDpheno1,11,m,1108,7.1,26.4,0.0485,,18.6
CGDpheno1,11,m,1440,6.7,28.2,0.0506,,18
CGDpheno1,11,m,510,6.2,28.3,0.052,,16.6
CGDpheno3,7,f,923,4.6,23.62,0.05,0.2,22.05
CGDpheno3,7,f,1014,4.7,22.32,0.06,0.23,18.69
CGDpheno3,7,f,1095,4.5,19.61,0.06,0.2,19.08
CGDpheno3,7,f,936,4.8,24.57,0.06,0.26,15.97
CGDpheno3,7,f,1078,4.7,22.77,0.06,0.25,14.37
CGDpheno3,7,m,1083,4.5,29.57,0.05,0.22,23.66
CGDpheno3,7,m,1151,4.5,33.46,0.05,0.22,27.5
CGDpheno3,7,m,1125,4.6,24.96,0.05,0.2,21.42
CGDpheno3,7,m,1178,4.9,29.09,0.06,0.27,15.28
CGDpheno3,7,m,1222,4.6,31.81,0.06,0.27,19.9
Eumorphia1,12,f,1613,,,,,
Eumorphia1,12,f,15,,,,,
Eumorphia1,12,f,1727,,,,,
Eumorphia1,12,f,1701,,,,,
Eumorphia1,12,f,1695,,,,,
Eumorphia1,12,f,1340,,,,,
Eumorphia1,12,f,1655,,,,,
Eumorphia1,12,f,1540,,,,,
Eumorphia1,12,f,1021,,,,,
Eumorphia1,12,f,1007,,,,,
Eumorphia1,12,f,1693,,,,,
Eumorphia1,12,f,1554,,,,,
Eumorphia1,12,f,1620,,,,,
Eumorphia1,12,f,1553,,,,,
Eumorphia1,12,f,1631,,,,,
Eumorphia1,12,f,1540,,,,,
Eumorphia1,12,f,1598,,,,,
Eumorphia1,12,f,1150,,,,,
Eumorphia1,12,f,1469,,,,,
Eumorphia1,12,f,1560,,,,,
Eumorphia1,12,f,816,,,,,
Eumorphia1,12,f,584,,,,,
Eumorphia1,12,f,807,,,,,
Eumorphia1,12,f,843,,,,,
Eumorphia1,12,f,788,,,,,
Eumorphia1,12,f,796,,,,,
Eumorphia1,12,f,879,,,,,
Eumorphia1,12,f,913,,,,,
Eumorphia1,12,f,976,,,,,
Eumorphia1,12,f,814,,,,,
Eumorphia1,12,f,1074,,,,,
Eumorphia1,12,f,969,,,,,
Eumorphia1,12,f,1042,,,,,
Eumorphia1,12,f,1025,,,,,
Eumorphia1,12,f,979,,,,,
Eumorphia1,12,m,1557,,,,,
Eumorphia1,12,m,1609,,,,,
Eumorphia1,12,m,1702,,,,,
Eumorphia1,12,m,1600,,,,,
Eumorphia1,12,m,1532,,,,,
Eumorphia1,12,m,1589,,,,,
Eumorphia1,12,m,1683,,,,,
Eumorphia1,12,m,1611,,,,,
Eumorphia1,12,m,1519,,,,,
Eumorphia1,12,m,1653,,,,,
Eumorphia1,12,m,1589,,,,,
Eumorphia1,12,m,1610,,,,,
Eumorphia1,12,m,1829,,,,,
Eumorphia1,12,m,1651,,,,,
Eumorphia1,12,m,1685,,,,,
Eumorphia1,12,m,1663,,,,,
Eumorphia1,12,m,1616,,,,,
Eumorphia1,12,m,1575,,,,,
Eumorphia1,12,m,1544,,,,,
Eumorphia1,12,m,1443,,,,,
