Phenotype data set -- Mouse Phenome Database (phenome.jax.org),,,,,,
"Data set: CGDpheno2    Title: Variation over time for C57BL/6J controls, multi-system survey of mouse physiology    Year: 2009",,,,,,
Table of individual animal values,,,,,,
For metadata and more info please see:  http://phenome.jax.org/db/q?rtn=projects/details&sym=CGDpheno2&mlistmode=varnames,,,,,,
,,,,,,
strain,sex,id,age,testdate,parameter,value
C57BL/6J,f,452423,12,9/19/2002,BUN,26
C57BL/6J,f,452423,12,9/19/2002,CHOL,77
C57BL/6J,f,452423,12,9/19/2002,GLU,170
C57BL/6J,f,452423,12,9/19/2002,HDLD,64
C57BL/6J,f,452423,12,9/19/2002,NEFA,1.79
C57BL/6J,f,452423,12,9/19/2002,T4,6.7
C57BL/6J,f,452423,12,9/19/2002,TBIL,0.38
C57BL/6J,f,452423,12,9/19/2002,TG,85
C57BL/6J,f,452425,11,9/5/2002,pctEOS,1.9
C57BL/6J,f,452425,11,9/5/2002,HCT,46.3
C57BL/6J,f,452425,11,9/5/2002,HDW,2.01
C57BL/6J,f,452425,11,9/5/2002,pctLYMP,90.1
C57BL/6J,f,452425,11,9/5/2002,MCH,15.8
C57BL/6J,f,452425,11,9/5/2002,MCHC,34.2
C57BL/6J,f,452425,11,9/5/2002,MCV,46.2
C57BL/6J,f,452425,11,9/5/2002,pctMONO,0.7
C57BL/6J,f,452425,11,9/5/2002,MPV,5.2
C57BL/6J,f,452425,11,9/5/2002,pctNEUT,6
C57BL/6J,f,452425,11,9/5/2002,PLT,1004
C57BL/6J,f,452425,11,9/5/2002,RBC,10
C57BL/6J,f,452425,11,9/5/2002,RDW,14
C57BL/6J,f,452425,11,9/5/2002,pct Retic,4.2
C57BL/6J,f,452425,11,9/5/2002,WBC,11.6
C57BL/6J,f,452425,11,9/5/2002,mHGB,15.8
C57BL/6J,f,452425,12,9/13/2002,pctFat,19.1
C57BL/6J,f,452425,12,9/13/2002,BMD,0.0446
C57BL/6J,f,452425,12,9/13/2002,LTM,15.3
C57BL/6J,f,452425,12,9/13/2002,bodylength,8.7
C57BL/6J,f,452425,12,9/13/2002,bodyweight,21
C57BL/6J,f,452425,12,9/13/2002,TTM,18.9
C57BL/6J,f,452425,12,9/19/2002,BUN,24
C57BL/6J,f,452425,12,9/19/2002,CHOL,78
C57BL/6J,f,452425,12,9/19/2002,GLU,210
C57BL/6J,f,452425,12,9/19/2002,HDLD,64.7
C57BL/6J,f,452425,12,9/19/2002,NEFA,1.79
C57BL/6J,f,452425,12,9/19/2002,T4,6.2
C57BL/6J,f,452425,12,9/19/2002,TBIL,0.36
C57BL/6J,f,452425,12,9/19/2002,TG,86
C57BL/6J,f,452427,10,9/4/2002,carbon dioxide,18.2
C57BL/6J,f,452427,10,9/4/2002,chloride,115
C57BL/6J,f,452427,10,9/4/2002,potassium,6.98
C57BL/6J,f,452427,10,9/4/2002,sodium,150
C57BL/6J,f,452427,11,9/5/2002,pctEOS,1.5
C57BL/6J,f,452427,11,9/5/2002,HCT,46.7
C57BL/6J,f,452427,11,9/5/2002,HDW,2.08
C57BL/6J,f,452427,11,9/5/2002,pctLYMP,89.4
C57BL/6J,f,452427,11,9/5/2002,MCH,16.1
C57BL/6J,f,452427,11,9/5/2002,MCHC,34.6
C57BL/6J,f,452427,11,9/5/2002,MCV,46.6
C57BL/6J,f,452427,11,9/5/2002,pctMONO,1.8
C57BL/6J,f,452427,11,9/5/2002,MPV,5.1
C57BL/6J,f,452427,11,9/5/2002,pctNEUT,6.4
C57BL/6J,f,452427,11,9/5/2002,PLT,1020
C57BL/6J,f,452427,11,9/5/2002,RBC,10
C57BL/6J,f,452427,11,9/5/2002,RDW,14.1
C57BL/6J,f,452427,11,9/5/2002,pct Retic,3.7
C57BL/6J,f,452427,11,9/5/2002,WBC,8.37
C57BL/6J,f,452427,11,9/5/2002,mHGB,16.2
C57BL/6J,f,452427,12,9/13/2002,pctFat,20.1
C57BL/6J,f,452427,12,9/13/2002,BMD,0.045
C57BL/6J,f,452427,12,9/13/2002,LTM,15.4
C57BL/6J,f,452427,12,9/13/2002,bodylength,8.7
C57BL/6J,f,452427,12,9/13/2002,bodyweight,21.3
C57BL/6J,f,452427,12,9/13/2002,TTM,19.3
C57BL/6J,f,452427,12,9/19/2002,BUN,25
C57BL/6J,f,452427,12,9/19/2002,CHOL,94
C57BL/6J,f,452427,12,9/19/2002,GLU,157
C57BL/6J,f,452427,12,9/19/2002,HDLD,79.6
C57BL/6J,f,452427,12,9/19/2002,NEFA,1.59
C57BL/6J,f,452427,12,9/19/2002,T4,5.9
C57BL/6J,f,452427,12,9/19/2002,TBIL,0.49
C57BL/6J,f,452427,12,9/19/2002,TG,94
C57BL/6J,f,453931,10,9/26/2002,carbon dioxide,16.4
C57BL/6J,f,453931,10,9/26/2002,chloride,112
C57BL/6J,f,453931,10,9/26/2002,potassium,8.84
C57BL/6J,f,453931,10,9/26/2002,sodium,142
C57BL/6J,f,453931,11,9/26/2002,pctEOS,1.2
C57BL/6J,f,453931,11,9/26/2002,HCT,48.6
C57BL/6J,f,453931,11,9/26/2002,HDW,2.15
C57BL/6J,f,453931,11,9/26/2002,pctLYMP,86.6
C57BL/6J,f,453931,11,9/26/2002,MCH,16.3
C57BL/6J,f,453931,11,9/26/2002,MCHC,34.3
C57BL/6J,f,453931,11,9/26/2002,MCV,47.6
C57BL/6J,f,453931,11,9/26/2002,pctMONO,0.9
C57BL/6J,f,453931,11,9/26/2002,MPV,5.5
C57BL/6J,f,453931,11,9/26/2002,pctNEUT,10.3
C57BL/6J,f,453931,11,9/26/2002,PLT,993
C57BL/6J,f,453931,11,9/26/2002,RBC,10.2
C57BL/6J,f,453931,11,9/26/2002,RDW,14.2
C57BL/6J,f,453931,11,9/26/2002,pct Retic,5.9
C57BL/6J,f,453931,11,9/26/2002,WBC,9.52
C57BL/6J,f,453931,11,9/26/2002,mHGB,16.7
C57BL/6J,f,453931,12,10/16/2002,CHOL,80
C57BL/6J,f,453931,12,10/16/2002,GLU,187
C57BL/6J,f,453931,12,10/16/2002,HDLD,79.7
C57BL/6J,f,453931,12,10/16/2002,NEFA,2.54
C57BL/6J,f,453931,12,10/16/2002,T4,6.4
C57BL/6J,f,453931,12,10/16/2002,TBIL,0.33
C57BL/6J,f,453931,12,10/16/2002,TG,98
C57BL/6J,f,453931,12,10/4/2002,pctFat,20.5
C57BL/6J,f,453931,12,10/4/2002,BMD,0.0488
C57BL/6J,f,453931,12,10/4/2002,LTM,14.9
C57BL/6J,f,453931,12,10/4/2002,bodylength,8.9
C57BL/6J,f,453931,12,10/4/2002,bodyweight,20.6
C57BL/6J,f,453931,12,10/4/2002,TTM,18.7
C57BL/6J,f,453933,10,9/26/2002,carbon dioxide,15
C57BL/6J,f,453933,10,9/26/2002,chloride,115
C57BL/6J,f,453933,10,9/26/2002,potassium,6.88
C57BL/6J,f,453933,10,9/26/2002,sodium,144
