strain,sex,animal_id,RBC,WBC,LYM,LYM_pct,NEUT,NEUT_pct,MONO,MONO_pct,EOS,EOS_pct,BASO,BASO_pct,RDW,MCV,HGB,PLT,MPV
PreCC5049/Unc,m,OR5049m130,11.08,4.90,3.19,65.10,1.34,27.35,0.32,6.53,0.03,0.61,0.02,0.41,20.2,56.7,16.6,485,5.8
PreCC5066/Unc,m,OR5066m143,11.17,6.58,4.87,74.01,1.30,19.76,0.37,5.62,0.03,0.46,0.01,0.15,19,54.8,16.5,1120,4.6
PreCC5067/Unc,m,OR5067m141,10.2,7.00,3.83,54.71,2.56,36.57,0.57,8.14,0.04,0.57,0.00,0.00,16.2,56.6,16.5,1119,5.2
PreCC5076/Unc,m,OR5076m133,7.48,15.28,9.34,61.13,4.77,31.22,0.98,6.41,0.18,1.18,0.01,0.07,18.7,51.4,11.2,1126,4.3
PreCC5087/Unc,m,OR5087m133,9.87,7.90,5.57,70.51,1.74,22.03,0.47,5.95,0.12,1.52,0.01,0.13,16.9,61.3,14.9,585,4.6
PreCC5091/Unc,m,OR5091m144,10.28,10.46,6.04,57.74,3.19,30.50,0.61,5.83,0.45,4.30,0.17,1.63,19.4,49.7,14,723,5.8
PreCC5118/Unc,m,OR5118m137,10.17,15.30,10.17,66.47,3.97,25.95,0.85,5.56,0.28,1.83,0.02,0.13,15.3,70.7,16.3,746,4.6
PreCC5130/Unc,m,OR5130m140,11.05,5.56,3.50,62.95,1.68,30.22,0.35,6.29,0.02,0.36,0.01,0.18,16.7,54.5,16.7,955,4.4
PreCC5140/Unc,m,OR5140m134,9.1,4.72,3.05,64.62,1.22,25.85,0.41,8.69,0.04,0.85,0.01,0.21,20.6,59,13.7,961,4.6
PreCC5154/Unc,m,OR5154m140,10.21,5.38,3.86,71.75,1.01,18.77,0.49,9.11,0.02,0.37,0.01,0.19,19.2,41.2,14.6,841,4.9
PreCC5156/Unc,m,OR5156m127,5.03,2.02,1.68,83.17,0.26,12.87,0.08,3.96,0.01,0.50,0.01,0.50,19.4,55.1,6.3,375,4.3
PreCC5164/Unc,m,OR5164m131,8.73,3.52,2.31,65.63,1.06,30.11,0.13,3.69,0.02,0.57,0.00,0.00,21.2,46.8,11.9,520,4.7
PreCC5232/Unc,m,OR5232m137,10.05,8.56,5.25,61.33,2.28,26.64,0.99,11.57,0.02,0.23,0.01,0.12,17.5,70.6,17.1,1090,5.6
PreCC5252/Unc,m,OR5252m131,10.09,11.94,9.47,79.31,1.82,15.24,0.63,5.28,0.01,0.08,0.00,0.00,18.4,41.8,14.5,1685,5.1
PreCC5291/Unc,m,OR5291m125,8.78,5.36,3.15,58.77,1.66,30.97,0.38,7.09,0.15,2.80,0.02,0.37,17.4,49.1,12.2,569,4.5
PreCC5308/Unc,m,OR5308m141,10.38,10.88,7.79,71.60,2.28,20.96,0.70,6.43,0.10,0.92,0.01,0.09,15.8,67.1,16.6,798,4.8
PreCC5344/Unc,m,OR5344m140,9.49,11.04,8.65,78.35,1.77,16.03,0.55,4.98,0.05,0.45,0.01,0.09,16.7,45.3,14.1,761,4.7
PreCC5370/Unc,m,OR5370m142,9.54,4.96,3.05,61.49,1.43,28.83,0.42,8.47,0.05,1.01,0.00,0.00,17.2,62.3,16,1048,4.6
PreCC538/Unc,m,OR538m149,10.27,8.92,5.74,64.35,2.16,24.22,0.96,10.76,0.06,0.67,0.00,0.00,17.3,53.4,14.9,854,4.8
PreCC5389/Unc,m,OR5389m137,11.22,8.46,5.73,67.73,1.83,21.63,0.89,10.52,0.01,0.12,0.01,0.12,18.7,59.2,15.9,1362,4.3
PreCC5401/Unc,m,OR5401m137,11.71,7.64,4.92,64.40,1.94,25.39,0.66,8.64,0.10,1.31,0.02,0.26,17.9,59.9,16.5,855,4.5
PreCC5410/Unc,m,OR5410m133,10.22,4.58,2.88,62.88,1.15,25.11,0.52,11.35,0.01,0.22,0.01,0.22,19.8,48.6,15.3,783,4.6
PreCC5454/Unc,m,OR5454m136,9.68,5.68,3.83,67.43,1.11,19.54,0.73,12.85,0.01,0.18,0.00,0.00,19.5,69.8,14.9,834,4.9
PreCC5480/Unc,m,OR5480m136,10.07,6.14,4.67,76.06,1.04,16.94,0.35,5.70,0.06,0.98,0.02,0.33,17.8,60.7,16,1066,5.1
PreCC5489/Unc,m,OR5489m140,8.89,3.06,1.60,52.29,1.07,34.97,0.36,11.76,0.03,0.98,0.00,0.00,18.1,52.9,13.2,692,5.2
PreCC5513/Unc,m,OR5513m128,9.71,6.12,3.84,62.75,1.82,29.74,0.39,6.37,0.05,0.82,0.01,0.16,16.9,67.4,15.7,788,4.6
PreCC5515/Unc,m,OR5515m126,10.09,7.64,4.70,61.52,2.30,30.10,0.54,7.07,0.08,1.05,0.02,0.26,19.2,65.7,14.6,877,5.2
PreCC5516/Unc,m,OR5516m139,9.81,12.64,9.65,76.34,2.05,16.22,0.87,6.88,0.05,0.40,0.01,0.08,17,57.7,15.2,1074,4.8
PreCC5528/Unc,m,OR5528m164,7.87,7.42,5.87,79.11,1.04,14.02,0.49,6.60,0.02,0.27,0.00,0.00,17.4,64.8,12.7,700,4.2
PreCC5546/Unc,m,OR5546m131,11.15,6.12,4.17,68.14,1.40,22.88,0.47,7.68,0.06,0.98,0.02,0.33,17.9,46.4,15.4,919,4.7
PreCC5549/Unc,m,OR5549m133,8.18,3.44,2.58,75.00,0.64,18.60,0.21,6.10,0.02,0.58,0.00,0.00,18.4,43.8,12.2,706,5.1
