strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
B6NODF1,m,BDF1M04,175,96,82.6,90,10.47,8.62,85.6,10.1,1.6,0.2,1.9,0.6,3.8,14.5,47.8,15.7,32.9,31,1.75,16.5,15.5,50.1,1166,4.7,148,628,761,1.81,406.22,419.85,78.8,24.3,31.8,11.1,40.7,45.8,18.5,21.3,30.1,0.06,0.29,5.62,11.7,11,13.89,13.26,28.73
B6NODF1,m,BDF1M05,173,108,96,79,9.63,6.63,87.1,8.8,1.1,0.1,1.8,1.1,4,15.6,48.3,15.5,32.1,30.7,1.67,14.9,14.3,46.5,1239,4.6,124,655,791,1.92,255.96,357.78,75.8,24.1,30.6,9.7,41.3,47.4,16.5,18.9,32.1,0.06,0.29,5.68,12.6,11.9,16.04,14.46,31.03
B6NZOF1,f,BEF1F01,172,127.5,105.95,122.5,10.44,5.62,85.8,9.3,1.2,0.1,2.9,0.6,1.5,14.7,45.7,15.2,33.3,30.9,1.82,15.9,14.8,47.7,1160,5.9,126,626,797,0.91,374.89,455.23,75.3,23.2,29.9,9.9,38.1,43.9,22,25.4,28.7,0.07,0.28,4.85,13.67,10.7,27.59,16.45,34.36
B6NZOF1,f,BEF1F02,199.5,118.5,107.4,122.5,10.45,5.9,87.1,9.5,1.2,0.1,1.4,0.7,1.6,15.1,46.1,15.1,32.9,30.6,1.82,15.8,14.7,48.2,1211,6.4,116,655,769,1.18,281.61,299.31,78.1,24,31.6,11,39.9,45.2,17,19,29.4,0.06,0.29,4.99,14.42,12.3,29.14,18.58,39.23
B6NZOF1,f,BEF1F03,205,116,103,113.5,8.94,6.13,83.3,11.7,1,0.3,3.1,0.5,2,15.3,45.5,16.3,35.9,31,1.96,14.6,12.6,40.7,1444,11.7,134,649,600,5.4,509.56,579.41,100.3,29.1,37.6,11.8,49.8,49.7,33.5,33.1,38.5,0.07,0.3,5.16,13.92,10.7,33.61,17.03,35.51
B6NZOF1,f,BEF1F04,193.5,115,101.5,134.5,10.24,4.72,86.7,10.9,0.4,0.1,1.6,0.4,1.5,14.6,46.2,15.2,32.9,30.9,1.85,15.6,14.6,47.3,975,6.8,131,649,762,1.85,230.43,469.34,78.7,18.4,25.8,10.4,41.3,46.6,17.5,18.9,31.4,0.07,0.27,4.76,11.9,9.9,23.28,14.06,29.62
B6NZOF1,f,BEF1F05,192.5,113,98.65,122.5,10.46,5.38,87.2,8.8,0.7,0.1,2.7,0.5,1.8,14.6,46.5,15.5,33.3,30.6,1.79,16.2,14.9,48.6,1086,6.3,125,670,647,11.94,407.6,485.5,94.3,26.1,33.3,10.4,45.7,47,52,53.6,35.8,0.06,0.29,5.1,12.34,10.4,21.51,14.13,30.61
B6NZOF1,m,BEF1M01,188,155.5,130.5,181.5,9.85,4.81,79.5,17.2,1,0.1,1.6,0.6,4.9,16.7,46.7,15.8,33.8,30.3,2.1,15.6,13.9,46,1338,7,119,651,767,1.41,335.49,366.02,78.3,14.3,21.9,10.9,43.1,48.7,15.5,17.7,32.6,0.06,0.3,5.27,15.53,13.95,28.15,21.23,44.1
B6NZOF1,m,BEF1M02,208.5,151,132.15,131.5,9.39,4.2,86.9,9.7,0.4,0.2,1.6,1.1,5.5,16.7,46.8,16.3,34.9,30.1,2.21,15.3,13.2,44,1794,13.2,107,641,666,2.58,322.83,396.48,90.2,25.3,32.8,10.8,44.7,47,14,13.5,34.4,0.06,0.31,5.48,14.85,13.55,27.28,19.67,41.54
B6NZOF1,m,BEF1M03,222.5,142,125,132.5,10.22,3.81,86.8,10.1,1,0.1,1.6,0.5,2.4,14.6,46.3,15.1,32.6,30.2,1.82,15.4,14.3,47.3,1260,5.1,135,592,561,8.89,325.91,385.02,107.8,29.3,37.9,12,55.7,53.6,24.5,25.8,44.2,0.06,0.31,5.34,15.42,14.15,30.62,21.21,44.3
B6NZOF1,m,BEF1M04,220.5,150,132.05,141.5,10.26,3.62,83.7,12,1.2,0.1,2.1,1,5,16.4,46.9,15.1,32.3,30.2,2.13,15.5,14.6,48.2,1367,6.4,115,629,773,1.41,324.21,283.93,77.6,17,24.4,11.9,40.2,45.7,21.5,24.1,28.8,0.06,0.3,5.37,15.33,13.5,32.65,21.52,43.8
B6NZOF1,m,BEF1M05,216,154.5,133.75,142.5,10.65,4.17,85.7,10.3,1.1,0.1,2,0.8,3.9,15.6,46.9,14.9,31.9,29.9,1.89,15.9,14.9,49.9,1283,5.1,113,682,769,1.79,448.94,451.24,78.1,23.7,31.4,11.2,40.3,45.6,16.5,18.1,29.5,0.06,0.3,5.31,14.88,13.5,27.48,20.1,41.91
B6PWKF1,f,BGF1F01,137.5,86,71.6,160,9.9,10.13,90.8,6.9,0.7,0.2,0.9,0.5,1.5,14.6,47.4,15.7,33.1,31.2,1.75,15.5,14.6,46.9,1256,5,,,663,4.47,311.14,161.31,90.7,20.2,28.6,11.4,50.4,52.9,19.5,16.5,39.5,,,,,,,,
B6PWKF1,f,BGF1F02,159,85,71.3,140.5,9.89,8.13,88,8.7,0.7,0.2,1.9,0.5,1.8,14.2,46.2,15.6,33.8,31.5,1.87,15.4,14.4,45.6,1224,6.8,,,495,7.23,502.87,344.01,121.9,16.5,27.9,14.6,69.9,63.3,25.5,22.7,55.9,,,,,,,,
B6PWKF1,f,BGF1F03,159.5,80,67.25,130,9.74,8.09,90.1,7.7,0.6,0.2,0.7,0.7,3.2,14.8,46.8,15.7,33.6,31.3,1.87,15.3,14.3,45.6,1345,10.7,,,812,1.17,252.45,325.98,73.9,22.6,29.4,9.7,36.9,42.8,18,20.8,27.7,,,,,,,,
B6PWKF1,f,BGF1F04,178.5,93.5,75.45,170.5,9.96,8.81,89.6,6.6,0.9,0.2,2.1,0.7,1.6,14.6,46.5,15.5,33.3,31.3,1.88,15.4,14.5,46.3,1219,6,,,667,6.14,347.08,213.18,90.2,19.5,28.3,11.8,43.6,46,31,28.4,32.3,,,,,,,,
B6PWKF1,f,BGF1F05,198.5,89.5,72.4,126.5,10.09,12.01,89.8,7.8,0.6,0.2,1,0.5,1.9,15.1,46.9,15.5,33.1,31.4,1.82,15.7,14.8,47.3,1198,5.2,,,561,8.63,308.16,322.65,107.8,19.5,30.2,13.4,63.6,61.4,27.5,26.8,50.6,,,,,,,,
B6PWKF1,f,BGF1F06,149,87,75.2,84,10.21,6.86,87.3,9.9,1,0.2,1.2,0.4,1.5,14,43.5,14.9,34.3,33.9,1.77,15.2,15,44.4,1013,4.4,,,,,,,,,,,,,,,,0.06,0.27,5.39,10.36,8.45,17.38,10.53,23.43
B6PWKF1,m,BGF1M01,233,98.5,86.15,141.5,10.28,7.21,85,12.1,0.8,0.2,1.6,0.3,2.5,14,46.5,15,32.2,30.6,1.83,15.4,14.6,47.8,1229,4.9,,,764,3.97,212.8,123.41,78.6,21.6,28.9,10.5,41.2,46.4,22,24.9,31.2,,,,,,,,
B6PWKF1,m,BGF1M02,223.5,97.5,85.9,157.5,10.22,8.81,85.4,10.2,1.2,0.1,2.1,0.9,2.6,14.4,46.3,15.1,32.6,30.6,1.86,15.4,14.4,47.3,1373,5,,,794,1.03,272.1,354.1,75.5,20,26.5,9.5,39.9,45.9,23,26.6,30.8,,,,,,,,
B6PWKF1,m,BGF1M03,192.5,88,75.65,133,10.49,7.87,85.8,10,1.1,0.1,2.5,0.5,2.5,14.5,46.8,14.8,31.7,30.3,1.77,15.6,14.9,49.1,1226,4.9,,,813,2.14,234.82,103.18,73.9,23.3,30,9.2,36.6,42.5,20,21.5,27.9,,,,,,,,
B6PWKF1,m,BGF1M04,231,100.5,83.3,238,10.44,8.92,86.2,10.4,1.1,0.1,1.5,0.6,2.4,14.1,46.3,15.1,32.6,30.4,1.81,15.7,14.7,48.4,1404,5.2,,,788,1.1,406.38,127.13,76.1,22.8,30.4,12.7,42.4,48.6,19,21.3,30.2,,,,,,,,
B6PWKF1,m,BGF1M05,,,,,10.51,6.77,88.6,8.8,0.5,0.1,1.5,0.5,1.8,14.2,45.6,14.5,31.8,31.2,1.57,15.2,15,48,1194,4.6,,,674,10.32,293.52,138.81,90.3,23.9,31.5,10.5,46.9,49.6,53.5,52.3,36.9,0.06,0.27,5.73,10.08,8.9,17.42,10.72,22.99
B6WSBF1,f,BHF1F01,204,77.5,73.2,77,9.42,4.4,85.6,10.8,0.7,0.1,2.5,0.3,4.4,15.9,46.5,15.9,34.2,31.6,1.88,15,13.9,43.8,1496,9.5,,,609,4.5,313.82,340.78,98.6,26,34.3,11.3,48.5,48.8,23,21.5,37.6,,,,,,,,
B6WSBF1,f,BHF1F02,185,79.5,70.95,57.5,9.68,7.78,86.7,10.3,1.2,0.2,1,0.6,3.7,14.8,44.9,15.8,35.2,32.4,1.72,15.3,14.1,43.4,1175,6.2,,,729,4.14,316.64,542.95,82.5,18.1,22.5,9,37.4,41.3,31.5,32.5,28.9,,,,,,,,
B6WSBF1,f,BHF1F03,200.5,80.5,73.75,67,9.84,4.21,86.2,9.2,1.4,0.1,2.7,0.5,3.8,15.1,45.8,15.6,34.1,31.9,1.88,15.4,14.4,45.1,1370,5.3,,,714,6.36,300.64,368.5,84.4,23.8,31.3,10.8,48.8,53.3,16,16,38.5,,,,,,,,
B6WSBF1,f,BHF1F04,191.5,83,78.1,58.5,9.63,4.12,85.6,9.5,1,0.2,3.3,0.5,5.6,15.9,45.5,16,35.1,32.4,1.9,15.4,14.2,43.8,1123,5.4,,,684,3.32,239.73,385.75,87.8,24,31.7,11.1,44.6,47.6,23.5,24,34,,,,,,,,
