strain,sex,animal_id,GLU,CHOL,HDL,TG,RBC,WBC,pctLYMP,pctNEUT,pctMONO,pctBASO,pctEOS,pctLUC,pctRetic,RDW,MCV,MCH,MCHC,CHCM,HDW,mHGB,cHGB,HCT,PLT,MPV,systolic_BP,pulse,HR,CV,R_amplitude,RS_amplitude,RR,PQ,PR,QRS,QT,QTc,QT_dispersion,QTc_dispersion,ST,BMD,BMC,bone_area,total_area,LTM,pct_fat,TTM,bw
CASTWSBF1,m,FHF1M05,125,91,78.5,104,10.7,7.13,83.4,10.5,1.4,0.5,4,0.2,2.1,14.6,43.3,15.1,35,34.3,1.74,16.2,15.9,46.3,1186,5.4,,,,,,,,,,,,,,,,0.05,0.19,4.25,7.68,6.3,11.52,7.53,16.27
NOD/ShiLtJ,f,DDF1F01,139,88,78.7,109,8.71,5.11,74.7,21,1.05,0.35,2.45,0.5,4.8,14.45,50.45,17.45,34.6,31.65,2.24,15.2,13.9,43.95,1122,5.1,,,776,0.71,370.07,624.53,77.3,21,27.7,10,39.5,45,19.5,22.2,30.1,0.07,0.3,5.83,10.4,8.15,14.69,10.08,22.66
NOD/ShiLtJ,f,DDF1F02,117,86,79,116,8.75,4.94,75.8,20.15,0.8,0.35,2.25,0.6,4.7,14.4,51.85,17.35,33.5,31.35,2.22,15.25,14.2,45.4,1136,4.8,,,792,0.81,475.52,732.67,75.8,22,28.1,9.1,40.8,46.9,22,25,32.2,,,,,,,,
NOD/ShiLtJ,f,DDF1F03,147,96,87.9,120,8.8,5.53,70.15,25.6,1.05,0.3,2.2,0.65,4.4,14.45,50.15,17,34,31.7,2.26,15,14.05,44.15,1112.5,4.75,,,804,0.48,544.98,815.11,74.6,21.1,27.9,10.5,40.5,46.9,12.5,14.5,30.5,0.07,0.27,5.42,9.65,7.45,16.11,9.23,20.2
NOD/ShiLtJ,f,DDF1F04,143,94,85.7,105,9.28,5.07,71.55,24.3,1.05,0.35,1.9,0.75,3.8,14.15,52,17.1,32.9,30.8,2.14,15.9,14.9,48.25,1020,4.85,,,809,0.63,418.47,461.1,74.2,19.1,26,9.8,39.6,46,15.5,18,30.3,0.07,0.31,5.82,9.99,8.1,13.88,9.87,21.81
NOD/ShiLtJ,f,DDF1F05,145,88,81.2,118,8.67,4.79,73.2,22.4,1.2,0.3,2.45,0.55,5.2,14.65,50.65,17.4,34.4,31.65,2.23,15.1,13.9,43.95,1094.5,5,,,798,0.57,458.35,566.27,75.2,21.4,28,9.9,39.2,45.2,20.5,23.6,29.8,0.08,0.33,5.59,7.65,5.5,17.67,6.86,15.75
NOD/ShiLtJ,m,DDF1M01,157,120,106.9,165,9.34,5.88,67.4,27.55,1.6,0.25,2.7,0.5,4.15,14,52.55,17.25,32.85,30.4,2.07,16.15,14.9,49.15,993,5.8,,,802,0.46,356.1,591.49,74.8,20.9,27.6,10,40,46.2,14,16.2,30.4,0.07,0.28,5.47,11.93,11.35,14.57,13.72,30.17
NOD/ShiLtJ,m,DDF1M02,149,127,111.6,215,9.27,5.31,66.3,28.25,2.35,0.3,1.9,0.9,3.9,13.95,51.05,17.05,33.4,31.3,2.18,15.8,14.85,47.35,1436.5,4.7,,,794,0.62,368.98,500.13,75.6,22.2,28.6,9.3,41.4,47.6,17,19.4,32.6,0.07,0.29,5.56,12.64,11.8,16.01,14.36,30.55
NOD/ShiLtJ,m,DDF1M03,165,110,97.8,198,9.12,5.54,71.8,22.6,1.85,0.35,3,0.45,4.55,14.05,50.85,17.15,33.75,31.45,2.2,15.65,14.55,46.35,1257,4.8,,,828,0.66,544.51,688.76,72.4,20.3,26.9,9.9,38.7,45.5,21,24.8,29.3,0.07,0.3,5.64,11.88,11.6,14.39,13.84,29.63
NOD/ShiLtJ,m,DDF1M04,167,120,110.6,175,9.21,5.39,68.95,26.05,2.15,0.35,1.9,0.6,4.45,14,51.4,17.15,33.35,30.9,2.14,15.75,14.6,47.3,1274,5.05,,,729,2.01,461.41,558.67,82.4,22.6,29.7,10.3,43.9,48.4,11.5,12.3,34.1,0.06,0.29,5.93,12.66,11.3,15.35,13.72,30.14
NOD/ShiLtJ,m,DDF1M05,171,108,102.4,144,8.77,6.54,75.55,19.2,1.35,0.35,2.95,0.55,5.1,14,51.6,17.75,34.35,31.25,2.17,15.55,14.1,45.25,1180.5,5.8,,,696,1.18,474.62,641.87,86.3,23,29.9,10.2,43.7,47.1,17,17.8,34,0.06,0.3,5.77,12.45,11.5,14.14,13.82,30.14
NOD129SF1,f,DCF1F01,162.5,104.5,97.65,81,9.31,7.31,81.6,14.9,0.8,0.1,2.2,0.5,5,15.5,48.7,16.7,34.2,31.8,1.84,15.5,14.4,45.3,1122,5.1,114,602,798,1.24,299.16,353.14,75.2,21.3,28.6,10.4,41.3,47.7,14.5,17,31.4,0.08,0.35,5.91,11.06,9.35,17.19,11.6,25.52
NOD129SF1,f,DCF1F02,154.5,93,88.3,92.5,9,4.07,79.2,16.9,0.9,0.1,2.6,0.3,4.4,15.6,48.5,16.6,34.3,32,1.81,15,14,43.7,1071,5.1,121,692,752,1.82,490.08,459.66,79.9,22.6,30.6,11.5,45.8,51.3,25.5,28.3,34.8,0.09,0.38,6.14,11.15,9.7,15.22,11.75,26.13
NOD129SF1,f,DCF1F03,163,99,90.1,95,9.41,8.49,87.3,8.6,0.9,0.3,2.2,0.7,2.5,14.1,49.6,17.1,34.4,31.6,1.56,16.1,14.7,46.7,1216,12.8,153,677,807,0.95,296.38,498.48,74.4,23.2,30.2,10.3,41.6,48.2,11.5,13.7,31.8,0.08,0.33,5.49,10.32,9.4,12.76,11.17,24.44
NOD129SF1,f,DCF1F04,152,100,97,116,9.59,9.03,79.4,16.9,0.5,0.2,2.2,0.7,3.7,14.4,50.1,17.1,34.1,31.5,1.68,16.4,15.1,48,1235,11.7,127,661,769,1.7,558.6,452.28,78,21.5,29.4,11.3,46.2,52.4,11,12,35.5,0.09,0.37,6.13,10.89,9.4,13.77,11.25,25.05
NOD129SF1,f,DCF1F05,148,101,94,98,9.62,10.08,78,18,1.2,0.3,1.9,0.5,3.3,14.5,49.7,16.8,33.8,31.5,1.61,16.2,15,47.7,1159,10.9,153,695,628,8.74,334.14,448.69,96.2,23.7,32,11.4,47.1,47.9,26,19.8,36.3,0.09,0.36,6.02,10.88,9.45,17.99,11.67,25.82
NOD129SF1,m,DCF1M01,187.5,158,149.95,91.5,9.45,6.86,85.8,10.3,1.4,0.2,1.7,0.6,4.7,14.6,48.7,16.8,34.5,31.6,1.72,15.9,14.5,46,1326,7,141,675,756,0.63,384.68,548.23,79.3,20,27.6,11.3,44.8,50.3,13.5,15.2,34,0.07,0.36,6.12,13.02,12.55,17.27,15.89,34.35
NOD129SF1,m,DCF1M02,176,137.5,129.9,96.5,9.82,9.18,85.6,10.4,1.5,0.2,1.6,0.7,4.3,14.7,48.3,16.3,33.9,31.7,1.78,16,15,47.4,1242,4.9,140,602,761,1.64,569.65,630.96,78.8,22.2,30.1,11.3,44.2,49.9,20,21.4,33.5,0.07,0.32,5.5,11.79,11.15,16.66,14.03,29.7
NOD129SF1,m,DCF1M03,173,154,143.8,134,9.4,7.84,83.8,12,1.2,0.2,2.2,0.6,4,14,48.7,17.2,35.3,32,1.71,16.1,14.7,45.7,1452,12.7,127,734,805,1.23,290.38,361.57,74.5,22.2,29,10.1,39.8,46.2,14,16.5,30.3,0.06,0.29,5.17,12.39,11.4,21.69,15.17,32.48
NOD129SF1,m,DCF1M04,183,133,125.8,136,9.72,8.58,84,12.2,1.3,0.1,1.9,0.5,3.9,13.7,50.2,17.1,34,31.2,1.66,16.6,15.2,48.8,1475,10.9,106,582,771,2.01,374.9,487.77,77.9,22.1,29.3,10.6,44.3,50.3,13.5,13.8,34.2,0.07,0.32,5.61,11.9,10.95,18.84,14.07,30.68
NOD129SF1,m,DCF1M05,191,125,120,118,9.88,9.68,86.3,9.5,1.3,0.2,1.7,0.9,3.6,13.8,49,16.9,34.4,31.6,1.61,16.7,15.3,48.5,1249,12.2,147,684,762,1.31,281.81,258.09,78.7,22.6,30,10.8,43.8,49.4,17.5,19.3,33.5,0.06,0.29,5.47,11.64,10.25,20.36,13.22,28.93
NODAF1,f,DAF1F01,163,92,83.9,136,8.9,8.52,83.5,12.7,0.9,0.3,1.8,0.8,2.9,14.4,49.2,16.8,34.2,32.3,1.83,15,14.1,43.8,1287,10.3,,,742,6.68,371.64,284.54,81.2,20,26.9,9.7,40,44.5,22.5,22.4,30.8,0.07,0.27,5.19,10.4,8.45,16.46,10.38,22.6
NODAF1,f,DAF1F02,170,83,77.3,134,8.95,8.26,79.4,16.4,1.4,0.1,1.8,0.9,3,14.5,50.5,17,33.6,31.7,1.79,15.2,14.3,45.2,1262,7.2,,,776,4.37,188.81,173.84,77.4,22.8,29.3,9.5,37.4,42.5,27,29.8,28.4,0.07,0.28,5.42,9.97,8.5,13.13,10.27,20.52
NODAF1,f,DAF1F03,129,88,75.2,144,8.62,7.97,82,14.2,0.9,0.2,2.1,0.6,3.3,14.7,49.9,17.2,34.5,32,1.89,14.8,13.8,43,1284,10.7,,,773,1.66,369.07,390.72,77.7,21.5,28.1,9.5,38.6,43.8,19.5,22.2,29.6,0.07,0.27,5.35,10.28,8.1,13.4,9.81,21.48
NODAF1,f,DAF1F04,148,86,80,139,9.26,8.47,83.3,12.5,1.2,0.2,2.2,0.6,3.3,14.2,49.6,17,34.2,32,1.8,15.7,14.7,45.9,1291,10.5,,,810,1.87,349.07,322.53,74.1,21.8,28.4,9.5,37.6,43.6,22,24.9,28.5,0.06,0.26,5.17,10.72,8.65,16.57,10.68,23.18
NODAF1,f,DAF1F05,181,86,79.1,117,9.22,6.58,79.7,15.3,2.1,0.2,2,0.7,3.5,14.7,48.9,16.5,33.8,32.5,1.93,15.2,14.7,45.1,1061,4.6,,,697,10.18,240.71,339.34,87.1,24.8,32.1,10.5,40.7,43.7,36,34.6,30.7,0.08,0.31,5.84,10.5,9.15,12.62,10.87,23.66
NODAF1,m,DAF1M01,160,89,83,144,9.28,8.25,85.4,11,1.3,0.2,1.4,0.8,4.1,14.6,48.9,16.1,33,31.7,1.83,15,14.4,45.3,1275,4.7,112,576,833,0.55,322.27,240.08,72.1,22.6,28.2,8.3,37.6,44.3,19,22.4,29.8,0.06,0.25,4.98,12.21,10.55,20.51,13.95,30.2
NODAF1,m,DAF1M02,,,,,9.43,8.24,81,14.3,2.1,0.2,1.6,0.7,3.5,14.4,48.1,15.8,32.9,31.9,1.85,14.9,14.5,45.4,1327,4.7,145,597,801,0.84,356.98,354,74.9,21.9,28.4,9.3,39.8,46,23,26.7,31,0.06,0.27,5.29,11.99,11.05,17.15,13.72,29.73
NODAF1,m,DAF1M03,,,,,9.14,7.17,79.3,15.1,2.3,1.1,1.7,0.6,7,15.5,46.4,16.4,35.3,33.2,2.3,15,14.1,42.4,1404,12.3,129,624,830,0.82,272.94,312.28,72.3,23.1,29,8.8,34.7,40.8,24.5,28.8,26.4,0.06,0.27,5.29,13.01,11.35,20.39,14.77,31.86
NODAF1,m,DAF1M04,176,101,96.9,123,8.94,7.75,84.9,11.6,1.2,0.1,1.5,0.7,3.9,14.5,49.3,16.6,33.7,31.5,1.79,14.8,13.9,44,1410,8.9,121,642,814,0.99,279,214,73.7,21,27.7,9.4,40.9,47.6,18,21.4,32,0.06,0.26,4.99,12.66,11.35,21.11,15.04,32.17
NODAF1,m,DAF1M05,189,92,88.3,117,9.18,7.12,83.9,11.1,1.8,0.2,2.3,0.5,3.8,14.4,48.1,16,33.3,32.1,1.85,14.7,14.2,44.1,1316,4.8,111,643,760,1.88,424.21,422.71,79,21.6,28.1,10.4,38.5,43.4,29,31.3,28.6,0.07,0.29,5.56,12.69,11.5,19.81,14.68,31.83
NODB6F1,f,DBF1F01,149,98,84.2,79,8.86,5.9,87.6,8.7,0.8,0.1,2,0.7,2.6,14.2,48.4,16,33,32.2,1.66,14.1,13.8,42.9,1108,4.5,,,792,0.87,443.55,709.34,75.8,23.3,30.2,10.1,40.3,46.3,14.5,16.6,30.8,0.06,0.3,5.83,11.51,10.55,15.29,13.02,28.3
NODB6F1,f,DBF1F02,159,96,85.8,105,9.95,5.75,86.7,9.8,1.2,0.1,1.7,0.5,2.2,14.3,49.1,15.8,32.3,31.6,1.7,15.8,15.5,48.9,1026,4.5,,,777,1.15,348.73,457.64,77.3,23.8,29.9,9.6,38.5,43.8,23,25.7,29.3,0.08,0.3,5.67,10.91,9.25,16.44,11.2,24.86
NODB6F1,f,DBF1F03,158,92,84,120,9.63,8.27,83.7,12,1,0.1,2.2,0.9,2.4,13.6,48.8,15.9,32.6,31.7,1.74,15.3,14.9,47,1065,4.5,,,815,0.87,485.09,624.6,73.6,22.6,29.3,10,38.2,44.5,21,24.3,28.7,0.06,0.28,5.58,10.75,8.85,13.96,10.77,24.14
NODB6F1,f,DBF1F04,168,97,89.1,144,9.76,8.1,82.2,14.3,1,0.1,1.6,0.8,2.9,13.8,48.8,16.2,33.1,31.9,1.69,15.8,15.2,47.7,1107,4.6,,,770,0.96,347.83,449.65,77.9,24.3,31.2,10.1,39.6,44.8,21.5,24.2,30,0.07,0.29,5.67,10.39,8.05,14.13,9.72,22.12
NODB6F1,f,DBF1F05,155,92,78.8,126,9.42,7.58,82.5,13.6,1.1,0.3,2,0.5,3.8,14.4,47.8,15.9,33.3,32.4,1.78,15,14.6,45,1115,4.4,,,815,0.65,486.77,684.58,73.7,21.4,28.6,10.5,42.2,49.1,10,11.7,32.2,0.06,0.29,5.79,9.98,8,13.56,9.5,22.21
NODB6F1,m,DBF1M01,221,124,107.6,110,9.83,8.43,84.1,10.9,1.7,0.3,2.2,0.8,3.5,14,50.8,16.1,31.8,30.6,1.58,15.9,15.3,49.9,1243,4.9,,,776,1.19,519.64,546.5,77.3,23.8,30.6,10.2,39,44.4,21.5,24.3,29.3,0.07,0.31,5.37,14.21,14.45,19.81,18.88,39.98
NODB6F1,m,DBF1M02,205,112,101.6,128,9.63,7.3,86.5,9.9,1.1,0.2,1.4,1,2.2,13.4,49.1,16.2,33,31.7,1.52,15.6,15,47.3,1230,4.5,,,807,0.83,489.12,655.78,74.4,23,29.9,10.1,38.8,45,14,16.2,29.2,0.06,0.31,5.54,13.64,13.35,19.62,17.57,37.49
NODB6F1,m,DBF1M03,170,116,103.1,145,9.67,7.55,83.6,12.7,1.2,0.2,1.5,0.8,2.9,14.2,50.6,16.2,32.1,31,1.58,15.7,15.2,48.9,1257,4.6,,,814,0.73,443.91,532.74,73.7,23.4,29.6,9.5,38.5,44.9,15.5,18.3,29.6,0.07,0.32,5.67,14.3,13.95,24.55,18.88,40.19
NODB6F1,m,DBF1M04,157,117,104.1,100,9.67,6.84,86.5,8.8,1.3,0.1,2.6,0.8,3.1,13.8,49,16,32.6,31.5,1.61,15.4,14.9,47.4,1171,4.5,,,800,0.72,495.66,744.69,75,24.1,30.5,9.7,38.1,44,15.5,17.9,28.9,0.07,0.31,5.36,13.55,14.9,20.17,19.25,39.5
NODB6F1,m,DBF1M05,168,114,107.4,122,9.71,4.7,77.1,18.3,2.2,0.1,2.1,0.3,3.1,13.3,48.5,15.9,32.7,31.3,1.71,15.4,14.8,47.2,1260,4.4,,,847,0.57,376.36,220.32,70.9,14.9,19.2,9.8,39.4,46.8,1,1.3,30.1,0.06,0.29,6.03,12.2,11.2,14.47,13.56,30.2
NODCASTF1,f,DFF1F01,178,60,50.9,68,9.25,1.76,74.8,21.4,0.9,0.4,2.2,0.4,3.6,15.7,47,16,34.1,32.3,1.89,14.8,14,43.5,1311,5.9,,,817,1.88,554.47,833.34,73.4,21.2,28.3,10.5,43.1,50.2,11,12.2,33.1,0.07,0.31,6.06,9.67,7.9,11.1,9.2,20.7
NODCASTF1,f,DFF1F02,173,66,57.3,156,10.42,5.75,76,12.4,0.8,0.3,10.4,0.2,3,15.1,47,15.3,32.6,31.4,2.36,16,15.4,49,1054,6,,,819,0.82,585.2,623.83,73.3,21.1,28.2,10.5,42,49.1,15,17.3,32,0.07,0.33,5.95,9.55,8.15,13.08,9.65,21.94
NODCASTF1,f,DFF1F03,191,69,58.8,159,9.66,5.47,86.3,9.5,1.1,0.3,2.6,0.2,3.5,15,46.2,16.1,34.9,32.3,2.51,15.6,14.4,44.6,1679,8.9,,,808,2.31,347.47,439.11,74.3,20.3,27.5,10.5,44,51,12,12.1,33.9,0.07,0.33,5.91,9.69,8.45,12.26,9.94,22.76
NODCASTF1,f,DFF1F04,201,73,60.4,190,9.96,7.62,82.4,14.6,0.5,0.4,1.7,0.4,4.2,14.7,46.3,15.7,33.9,32.6,2.5,15.6,15,46.2,1175,5.2,,,804,1.38,391.92,536.03,74.6,18.7,26.1,10.6,44,51,12,13.4,34,,,,,,,,
NODCASTF1,f,DFF1F05,195,70,61.2,172,10.02,6.65,81,13.4,0.3,0.3,4.6,0.4,3.9,14.8,47.8,16.1,33.7,32,2.39,16.2,15.4,47.9,1154,6.1,,,818,1.97,593.75,650.92,73.4,20.9,28,10.6,39.8,46.4,14,15.6,29.6,0.07,0.3,5.7,10.45,8.4,12.36,9.89,22.2
NODCASTF1,m,DFF1M01,224,122,97.3,255,10.32,7.6,88.2,8.7,1.1,0.2,1.3,0.5,4.3,13.8,46.4,15.5,33.4,31.4,2.39,16,15.1,47.9,1581,6.8,,,899,0.63,0.42,0.5,66.7,19.5,26.2,9.8,38.7,47.4,7,8.9,29.4,0.06,0.3,5.69,12.91,12.15,16.3,15.02,33.35
NODCASTF1,m,DFF1M02,253,105,91,242,10.14,6.11,85.8,10.2,1.1,0.2,2.3,0.3,4.1,14,46.6,15.8,34,31.5,2.42,16.1,14.9,47.3,1480,9.1,,,769,2.14,318.47,234.38,78,22.2,29.8,10.9,44.4,50.3,13.5,14.7,34,0.06,0.31,5.54,12.22,12.15,19.26,15.53,33.46
NODCASTF1,m,DFF1M03,224,109,90,208,10,6.7,83.9,11.7,1.4,0.6,2,0.4,5.1,14.3,44.8,15.3,34,32.5,2.59,15.3,14.6,44.8,1454,7.3,,,849,1.32,415.1,351.97,70.7,21.3,27.9,10,40.8,48.6,13,15.9,31.3,0.06,0.3,5.52,12.22,12,19.34,15.38,33.31
NODCASTF1,m,DFF1M04,250,102,88.5,159,10.56,6.75,86.8,9.9,1.2,0.5,1.3,0.3,4.4,14.1,45.5,15.5,34.1,32,2.47,16.4,15.4,48.1,1301,5,,,770,1.71,482.76,440.87,77.9,22.4,30,10.9,45.6,51.7,7.5,7.1,35.3,0.06,0.31,5.95,12.23,11.75,14.28,14.24,31.81
NODCASTF1,m,DFF1M05,222,112,92.8,214,10.47,6.24,88,8.6,1.2,0.2,1.5,0.5,3.5,13.3,45.9,15.4,33.6,31.8,2.38,16.2,15.3,48,1259,5.2,,,766,1.68,527.75,594.75,78.3,19.2,26.8,11,46.5,52.5,5.5,5.2,35.9,0.07,0.34,6.13,12.81,13.2,14.53,15.74,35.95
NODNZOF1,f,DEF1F01,162,112,98.3,149,9.39,3.59,85.6,10.6,0.9,0.2,2.2,0.6,2.1,13.7,49.4,16.2,32.8,31.7,1.71,15.2,14.7,46.4,1118,4.6,143,644,718,3.12,472.27,668.28,83.6,23.8,30.8,10.5,43.8,47.9,12,12,33.8,0.07,0.32,5.36,13.79,11.8,24.98,17.17,36.66
NODNZOF1,f,DEF1F02,173,97,93.4,116,9.47,2.99,85.4,9.4,1.3,0.3,3,0.6,3.2,14.4,49.4,16.1,32.6,31.7,1.76,15.3,14.9,46.8,1188,4.5,119,503,784,1.43,332.4,322.24,76.6,23.8,31.1,10.3,38.1,43.6,13.5,15.1,28.3,0.06,0.29,5.04,13.81,11.55,27.96,17.62,37.11
NODNZOF1,f,DEF1F03,153,107,91.5,146,9.08,4.72,84.1,11.4,1.1,0.4,2.2,0.8,3.9,13.9,49.3,16.1,32.6,31.9,1.73,14.6,14.3,44.7,1242,4.6,111,466,735,0.96,403.23,422.59,81.6,16.4,23.4,10.5,44.6,49.3,14,15.3,34.6,0.07,0.31,5.18,12.73,11.3,27.93,16.31,34.03
NODNZOF1,f,DEF1F04,152,109,95.7,174,9.37,4.17,84.1,11.4,0.9,0.2,2.8,0.6,3.7,14.1,49.6,16.2,32.6,31.6,1.72,15.2,14.7,46.5,1074,4.6,123,450,815,0.65,552.38,628.66,73.7,23.1,30,10.2,38.7,45.1,20.5,24,29,0.06,0.32,5.43,12.94,11.4,26.32,16.44,34.57
NODNZOF1,f,DEF1F05,172,130,115,159,9.89,4.58,84.8,10.6,1,0.2,2.8,0.5,3.6,13.8,47.6,16.1,33.7,32.7,1.71,15.9,15.4,47.1,1181,4.5,,,762,1.58,307.82,329.76,78.8,23.4,30.9,10.7,40.7,45.8,21.5,23.6,30.5,0.07,0.31,5.67,12.34,11,22.55,14.76,31.46
NODNZOF1,m,DEF1M01,160,152,136,188,9.58,6.79,80.6,12.6,2,0.2,3.7,0.9,3.8,14.1,50.7,16.1,31.7,31,1.72,15.4,15.1,48.6,1395,4.6,132,466,823,1.06,351.95,320.78,72.9,23,29.7,10.2,35.6,41.7,20,23.2,25.9,0.05,0.28,5.14,13.97,13.15,25.44,18.24,37.84
NODNZOF1,m,DEF1M02,165,163,149.3,225,9.62,5.51,82.1,13.8,1.4,0.3,1.7,0.6,3.2,13.8,49.8,16.2,32.5,31.5,1.7,15.6,15.1,47.9,1451,4.6,63,319,788,0.59,388.19,513.05,76.2,23,30.1,10.4,38.9,44.6,21.5,24.8,29,0.06,0.3,5.11,15.88,16.1,28.72,24.23,49.76
NODNZOF1,m,DEF1M03,166,161,141.1,208,9.71,5.71,82.9,11.9,1.6,0.3,2.7,0.6,3.5,13.6,49.5,15.9,32,31.1,1.67,15.4,14.9,48.1,1329,4.6,109,457,764,0.8,292.65,308.67,78.6,23.8,31.2,10.6,40.3,45.4,22,24.8,30.1,0.07,0.3,5.2,15.14,14,27.42,20.57,43.39
NODNZOF1,m,DEF1M04,181,156,138.2,233,9.61,4.53,69.7,13.1,1.6,0.2,15,0.4,3.7,13.6,49.5,15.9,32.1,31.3,1.75,15.2,14.9,47.6,1156,4.5,118,459,791,1.2,341.78,554.5,75.9,20.9,28.5,10.8,39.1,44.9,18.5,21.1,28.8,0.06,0.3,5.13,14.57,14.55,29.04,21.65,44.21
NODNZOF1,m,DEF1M05,174,176,155,307,9.84,4.99,82.8,10.5,1.2,0.3,4.9,0.3,2.9,13.5,49.6,16,32.2,31.3,1.65,15.7,15.3,48.8,1146,4.5,,,762,1.03,306.79,484.75,78.8,23.2,30.4,10.5,43.4,48.9,11,11.7,33.4,0.06,0.3,5.31,16.03,15.15,29.63,22.98,48.64
NODPWKF1,f,DGF1F01,139.5,78,66.65,141,10.16,5.85,81.9,13.4,1.6,0.2,2.5,0.5,2.7,15.5,47.7,16,33.5,31.4,1.79,16.2,15.3,48.5,1099,6.3,,,836,0.73,474.61,585,71.8,23.7,29.2,9.6,37.3,44.1,12,14,28.3,0.06,0.24,5.04,8.77,7,12.65,8.33,18.19
NODPWKF1,f,DGF1F02,146,80,74.2,122.5,10,6.81,84.9,11.3,1.3,0.3,1.7,0.4,2.6,14.6,47.2,16.2,34.2,31.8,1.85,16.2,15,47.2,1226,7.6,134,678,802,1.15,285.84,387.45,74.8,22.5,30.3,12.4,42.8,49.5,10.5,11.9,30.9,0.06,0.25,4.91,8.93,7.6,12.46,8.97,19.6
NODPWKF1,f,DGF1F03,148,79,69.65,126.5,9.82,4.63,73.8,22.5,0.7,0,2.7,0.3,2.8,16.7,47.1,16.2,34.3,31.9,1.99,15.9,14.8,46.3,1268,6.4,109,547,749,1.89,583.81,610.96,80.1,22.7,30.4,12,40,44.6,24.5,27.4,28.5,0.06,0.25,5.22,9.06,7.1,12.29,8.38,18.83
NODPWKF1,f,DGF1F04,143,70,63.6,133.5,9.82,5.44,74.1,20.8,1.3,0.2,3.4,0.2,2.9,15.6,47.4,16.1,34,32.1,1.93,15.8,14.9,46.5,1117,6.9,81.9,543,792,0.93,413.48,428.08,75.7,23.5,30.7,11.9,37.5,43.2,23,26.6,26.2,0.06,0.26,5.28,9.18,7.3,11.73,8.55,18.78
NODPWKF1,f,DGF1F05,154,79,70.4,138,10.34,9.24,75.4,15,0.8,0.3,7.9,0.6,1.6,13,48.5,16,32.9,32.2,2.34,16.5,16.2,50.1,1034,4.6,,,842,0.41,644.75,781.81,71.2,20.2,26.9,10.3,38.3,45.4,13.5,16,28.5,0.06,0.25,5.48,9.37,6.65,14.69,8.02,18.12
NODPWKF1,f,DGF1F06,136,85,72.1,153,9.19,6,79.5,17.6,0.5,0.3,1.6,0.3,2.3,13.5,48.4,16.3,33.7,33,2.45,15,14.7,44.4,991,4.5,,,829,1.54,514.29,661.58,72.4,21.9,28.7,10.3,38.9,45.7,16.5,18.9,29.1,0.06,0.24,5.37,9.28,6.7,12.59,8.01,17.88
NODPWKF1,f,DGF1F07,163,82,76.4,131,9.44,9.28,82.1,15,0.3,0.4,1.7,0.6,2,13.6,49,16.6,33.9,32.8,2.4,15.7,15.2,46.2,1001,4.4,,,816,1.55,462.38,627.35,73.6,22.4,29.3,10.3,40.1,46.8,20.5,24.5,30.4,0.07,0.26,5.53,8.66,6.25,18.32,7.6,17.39
NODPWKF1,m,DGF1M01,171,97.5,78.25,215.5,10.75,5.89,78.2,17.7,1.3,0.1,2.4,0.3,2.8,14.4,46.1,15.6,33.9,31.4,1.8,16.8,15.6,49.5,1427,5.5,150,591,803,2.95,361.85,324.98,74.8,23,30.2,10.7,40.3,46.6,17.5,22.4,30,0.06,0.26,5.63,10.74,9.45,12.28,11.32,24.76
NODPWKF1,m,DGF1M02,175.5,88,76.8,159.5,9.79,4.49,78.8,16.3,1.6,0.2,2.7,0.4,3.6,15.5,46.4,15.9,34.2,31.4,1.95,15.5,14.3,45.4,1238,6.4,,,701,2.4,374.03,270.78,85.6,24.3,31.3,10.7,43.6,47.2,25,28.4,33.4,0.06,0.29,5.85,11.1,10.2,11.55,11.94,26.07
NODPWKF1,m,DGF1M03,175.5,88.5,78.65,135.5,10.1,6.68,77.4,18.9,1.3,0.2,2,0.3,3.8,14.8,45.5,15.6,34.3,31.9,2.02,15.7,14.7,45.9,1356,6.5,138,642,817,0.57,291.77,320.71,73.5,19.7,27,11.5,41.4,48.4,13.5,15.9,30.4,0.06,0.28,5.82,10.59,9.25,12.54,11.04,24.44
NODPWKF1,m,DGF1M04,187,89,77.9,116,10.46,4.1,79.5,17.1,1.1,0.1,2.1,0.2,3.7,14.8,46.3,15.5,33.5,31.5,1.87,16.2,15.3,48.5,1309,6,119,593,804,0.89,377.55,416.8,74.7,20.2,27.2,10.2,38.6,44.6,20,23.4,28.8,0.06,0.27,5.76,11.01,9.8,11.41,11.5,25.07
NODPWKF1,m,DGF1M05,163.5,92.5,78.9,159.5,10.76,5.12,75.9,18.4,1.2,0.1,3.9,0.6,3.1,14.3,47.6,15.8,33.2,30.5,1.76,17,15.6,51.2,1305,8.3,115,474,800,1.48,587.07,689.24,75,22.4,29.3,10.3,37.3,43.1,16.5,18.4,27.5,0.06,0.27,5.68,10.97,9.65,13.32,11.44,25.19
NODWSBF1,f,DHF1F01,147,87,73.6,113.5,9.53,5.68,77.9,16.9,1.8,0.1,2.8,0.5,3.7,15.2,48.4,16.7,34.4,31.4,1.65,15.9,14.5,46.1,960,5,,,,,,,,,,,,,,,,0.08,0.3,5.57,9.59,8,11.53,9.28,23.56
NODWSBF1,f,DHF1F02,195.5,81,71.15,107.5,9.28,5.14,78.1,17.5,1.1,0.1,3.1,0.2,4.8,15.4,48.3,16.8,34.7,32,1.7,15.6,14.4,44.9,1028,6.2,,,,,,,,,,,,,,,,,,,,,,,
