strain,sex,animal_id,WBC,NEUT,LYMP,pct_NEUT,pct_LYMP,HGB,PLT,adenoma_lung,carcinoma_lung,lymphoid_tumor,myeloid_tumor,GI_tumor,adenoma_lung_enu,carcinoma_lung_enu,lymphoid_tumor_enu,myeloid_tumor_enu,GI_tumor_enu
SPRET/EiJ,f,2420,4.32,1.09,3.01,25.3,69.6,14.6,470,,,,,,0,0,0,0,0
SPRET/EiJ,f,2421,4.96,1.10,3.67,22.1,74,14.1,558,,,,,,0,0,0,0,0
SPRET/EiJ,f,2422,4.34,1,3.15,23.1,72.7,13.4,515,,,,,,0,0,0,0,0
SPRET/EiJ,f,2423,3.80,1.08,2.57,28.5,67.5,13.8,510,,,,,,0,0,0,0,0
SPRET/EiJ,f,2424,4.74,0.720,3.81,15.1,80.5,14.7,523,,,,,,0,0,0,0,0
SPRET/EiJ,f,2497,5.82,1.62,3.80,27.8,65.3,15.3,554,,,,,,0,0,0,0,0
SPRET/EiJ,f,2498,8.70,2.01,6.16,23.1,70.8,15.6,414,,,,,,0,0,0,0,0
SPRET/EiJ,f,2499,5.22,1.44,3.50,27.7,67.1,15,555,,,,,,0,0,0,0,0
SPRET/EiJ,f,2500,7.34,2.12,4.54,28.9,61.9,15.8,336,,,,,,0,0,0,0,0
SPRET/EiJ,f,2546,5.08,1.32,3.15,26,62,15,668,0,0,0,0,0,,,,,
SPRET/EiJ,m,2501,7.84,2.38,4.54,30.4,57.9,15.6,381,,,,,,0,1,0,0,
SPRET/EiJ,m,2503,7.44,1.89,5.13,25.4,68.9,15.9,567,,,,,,0,0,0,0,0
SPRET/EiJ,m,2504,7.18,1.79,4.73,24.9,65.9,16.6,454,,,,,,0,0,0,0,0
SPRET/EiJ,m,2505,8.84,2.75,5.08,31.1,57.5,16.1,254,,,,,,0,0,0,0,0
SPRET/EiJ,m,2543,4.98,1.38,3.02,27.7,60.7,15.1,967,0,0,0,0,0,,,,,
SPRET/EiJ,m,2544,4.48,1.54,2.52,34.4,56.2,15.1,758,0,0,0,0,0,,,,,
SPRET/EiJ,m,2545,5.16,1.94,2.65,37.7,51.3,16,985,0,0,0,0,0,,,,,
SWR/J,f,2029,5.16,1.09,3.49,21.2,67.6,14,472,,,,,,0,0,0,0,0
SWR/J,f,2030,13.4,3.12,9.11,23.2,67.8,14.4,589,,,,,,0,0,0,0,0
SWR/J,f,2031,11.5,1.46,9.38,12.7,81.9,16.4,723,,,,,,0,0,0,0,0
SWR/J,f,2032,17.6,3.52,12.4,20,70.5,14.5,655,,,,,,0,0,0,1,0
SWR/J,f,2149,14.7,2.66,11.2,18.1,76.3,15.6,568,,,,,,0,1,0,1,0
SWR/J,f,2150,7.06,2.10,3.57,29.8,50.6,14.3,568,,,,,,0,0,0,0,0
SWR/J,f,2151,15.9,3.20,11.6,20.2,73,15.1,699,,,,,,0,0,0,0,0
SWR/J,f,2152,13.7,1.83,11.3,13.4,82.3,15.3,693,,,,,,0,1,0,1,0
SWR/J,f,2186,12.6,1.48,10.6,11.7,83.8,14.8,579,0,0,0,0,0,,,,,
SWR/J,f,2187,10.2,0.960,8.79,9.47,86.4,14.3,762,0,0,0,0,0,,,,,
SWR/J,f,2188,9.64,1.28,7.85,13.3,81.5,14.8,445,0,0,0,0,0,,,,,
SWR/J,f,2189,8.28,1.19,6.64,14.3,80.2,14.1,692,0,0,0,0,0,,,,,
SWR/J,m,2169,11.7,1.94,9.07,16.6,77.4,14.7,331,,,,,,0,0,0,1,0
SWR/J,m,2170,18.9,4.40,13,23.2,68.8,15.2,443,,,,,,0,0,0,0,0
SWR/J,m,2171,13.1,2.03,10.9,15.5,82.8,15.2,659,,,,,,0,0,0,0,0
SWR/J,m,2172,14.4,2.21,11.5,15.3,79.5,15.2,470,,,,,,0,0,0,0,0
SWR/J,m,2182,4.78,1.17,3.05,24.5,63.9,15.7,920,,,,,,0,1,0,0,0
SWR/J,m,2183,4.30,0.690,3.35,16,78,14.7,1145,,,,,,0,0,0,0,0
SWR/J,m,2184,6.02,0.980,4.65,16.2,77.2,14.8,870,0,0,0,0,0,,,,,
SWR/J,m,2185,6.52,1.40,4.35,21.4,66.8,15.2,870,0,0,0,0,0,,,,,
SWR/J,m,2329,11.4,1.23,9.98,10.7,87.4,15,1382,0,0,0,0,0,,,,,
SWR/J,m,2330,15.9,2.50,12.7,15.7,79.7,14.9,939,0,0,0,0,0,,,,,
SWR/J,m,2331,5.84,0.850,4.80,14.6,82.2,14.7,1226,0,0,0,0,0,,,,,
SWR/J,m,2332,7.56,1.05,6.09,13.9,80.6,13.5,857,0,0,0,0,0,,,,,
