strain,sex,animal_id,ALT,ALP,AST,CK,GLU,HDL,HGB,LDH,LDL,MCH,MCHC,MCV,PLT,RBC,WBC,ALB,amylase,calcium,chloride,CHOL,creatinine,ferritin,FFA,iron,LYMP,MONO,phosphorus,potassium,sodium,TBIL,total,transferrin,TG,BUN,uric_acid
C3HeB/FeJ,f,33916,,,,,,,,,,,,,,,,,,,,,,,,,2.50,0.500,,,,,,,,,
C3HeB/FeJ,f,33917,,,,,,,,,,,,,,,,,,,,,,,,,2.30,0.400,,,,,,,,,
C3HeB/FeJ,f,33918,,,,,,,,,,,,,,,,,,,,,,,,,2.20,0.300,,,,,,,,,
C3HeB/FeJ,f,33919,,,,,,,,,,,,,,,,,,,,,,,,,3.40,0.500,,,,,,,,,
C3HeB/FeJ,f,33920,,,,,,,,,,,,,,,,,,,,,,,,,4.10,0.800,,,,,,,,,
C3HeB/FeJ,f,33921,,,,,,,,,,,,,,,,,,,,,,,,,2.70,0.500,,,,,,,,,
C3HeB/FeJ,f,33922,,,,,,,,,,,,,,,,,,,,,,,,,2,0.300,,,,,,,,,
C3HeB/FeJ,f,33923,,,,,,,,,,,,,,,,,,,,,,,,,2.10,0.400,,,,,,,,,
C3HeB/FeJ,m,32998,22,131,38,48,149,88.1,,243,11.3,,,,,,,2.70,504,9.04,115,115,0.295,,0.880,19.5,,,5.49,4.10,151,2.80,4.80,,125,41.4,
C3HeB/FeJ,m,32999,31,120,59,181,131,100,,344,17.6,,,,,,,2.70,506,9.36,114,136,0.318,,1.03,19.3,,,6.94,5.20,150,2.30,4.50,,199,40.2,
C3HeB/FeJ,m,33000,48,136,67,472,139,90.9,,370,12.1,,,,,,,2.80,538,9.36,115,120,0.284,,1.25,19.1,,,5.89,5.80,151,2,4.80,,133,38.4,
C3HeB/FeJ,m,33001,32,131,48,133,149,90.9,,316,14.4,,,,,,,2.70,487,9.16,116,126,0.295,,1.22,22.1,,,6.23,5.10,152,2.20,4.50,,178,40.8,
C3HeB/FeJ,m,33002,26,142,62,293,155,103,,294,16.4,,,,,,,2.80,478,9.20,116,141,0.364,,1.10,23.1,,,7.10,5.80,152,2.50,4.70,,168,66.6,
C3HeB/FeJ,m,33003,144,134,276,,160,102,,2067,17.9,,,,,,,2.90,452,9.40,116,144,0.318,,0.770,20.4,,,,6,151,,5.10,,136,55.2,
C3HeB/FeJ,m,33004,21,129,53,280,144,102,,309,16.8,,,,,,,2.70,518,9.32,116,144,0.284,,0.930,18.9,,,5.12,4.30,152,2.30,4.80,,166,42.0,
C3HeB/FeJ,m,33005,25,125,62,158,133,95.5,,393,,,,,,,,2.80,490,8.24,116,136,0.261,,1.29,16.1,,,5.46,3.90,156,,5.70,,161,37.8,
C3HeB/FeJ,m,33006,30,127,119,1051,139,103,,731,17.9,,,,,,,2.90,552,9.32,116,144,0.318,,1.11,21.4,,,5.52,5.80,152,,5.20,,195,42.6,
C3HeB/FeJ,m,33007,24,131,47,175,153,93.2,,284,14.0,,,,,,,2.70,471,9.68,117,125,0.284,,0.910,20,,,5.77,4.50,151,2.10,4.70,,120,49.8,
C3HeB/FeJ,m,33008,22,116,43,65,171,101,,265,,,,,,,,2.80,483,9.88,115,128,0.295,,0.770,18.2,,,7.56,4.50,152,2.30,5.30,,172,35.4,
C3HeB/FeJ,m,33009,36,121,158,1730,124,94.0,,683,18.7,,,,,,,2.70,542,8.56,116,114,0.295,,0.930,18.2,,,7.87,6.40,152,,5.20,,125,39.0,
C3HeB/FeJ,m,33010,33,98,187,887,227,107,,878,,,,,,,,2.70,576,9.44,111,133,0.295,,0.590,12.7,,,5.89,4.50,149,2.30,5.50,,101,34.2,
C3HeB/FeJ,m,33011,50,126,157,1984,167,94.4,,760,15.2,,,,,,,2.70,468,9.60,115,114,0.295,,0.740,19.6,,,7.35,6.30,150,,5,,102,51.0,
C3HeB/FeJ,m,33012,29,111,52,117,151,93.2,,346,12.5,,,,,,,2.80,512,8.72,116,121,0.261,,0.780,20.5,,,6.79,4.60,154,2.30,4.60,,99.7,46.8,
C3HeB/FeJ,m,33013,21,126,52,119,153,105,,262,19.1,,,,,,,2.80,499,9.12,114,134,0.284,,1,18,,,5.83,4.30,149,2.40,5.10,,181,37.8,
C3HeB/FeJ,m,33014,27,120,80,1191,155,110,,456,20.7,,,,,,,2.80,513,8.96,116,140,0.295,,1.11,17.3,,,5.80,6,151,1.40,4.80,,198,39.6,
C3HeB/FeJ,m,33015,22,119,46,86,153,99.8,,319,16.4,,,,,,,2.70,501,8.80,114,129,0.250,,1.02,18,,,5.49,4.30,151,2,4.50,,145,34.8,
C3HeB/FeJ,m,33016,68,127,161,1605,135,101,,969,17.2,,,,,,,2.80,496,9.08,117,128,0.284,,1.18,17.5,,,6.94,,151,,5.10,,178,44.4,
C3HeB/FeJ,m,33017,21,122,46,62,158,103,,277,19.1,,,,,,,2.80,467,9.08,114,131,0.261,,1.02,19.4,,,5.55,4.20,150,2.40,4.60,,176,43.2,
C3HeB/FeJ,m,33274,,136,,36,156,,,,,,,,,,,,2308,8.80,112,156,0.239,50.8,,,,,5.58,4.40,156,,5.20,172,239,52.0,0.800
C3HeB/FeJ,m,33275,,166,,176,194,,,,,,,,,,,,2348,8.80,112,172,0.295,53.8,,,,,6.82,4.40,156,,5.40,174,264,45.8,2.20
C3HeB/FeJ,m,33276,,150,,108,184,,,,,,,,,,,,2322,8.80,112,157,0.277,60.4,,,,,4.96,4.20,156,,5.20,175,274,46.6,0.800
C3HeB/FeJ,m,33277,,164,,44,198,,,,,,,,,,,,2410,9.60,111,178,0.277,58.6,,,,,6.20,4.20,158,,6.20,182,360,56.6,1.80
C3HeB/FeJ,m,33278,,162,,36,196,,,,,,,,,,,,2596,9.60,110,193,0.277,53.4,,,,,6.20,4.20,158,,5.60,181,416,47.8,2.20
C3HeB/FeJ,m,33279,,158,,36,189,,,,,,,,,,,,2276,9.60,111,168,0.277,52,,,,,5.58,4.20,156,,5.60,182,269,43.2,1.40
C3HeB/FeJ,m,33280,,166,,36,194,,,,,,,,,,,,2460,9.60,112,188,0.295,52,,,,,6.20,4.60,158,,5.80,186,331,41.4,2.20
C3HeB/FeJ,m,33281,,158,,68,165,,,,,,,,,,,,2286,8.80,111,164,0.239,44.2,,,,,4.96,3.80,156,,5.60,184,292,55.4,0.400
C3HeB/FeJ,m,33282,,146,,62,212,,,,,,,,,,,,2462,9.60,109,183,0.277,57.8,,,,,5.58,4,156,,5.60,182,342,55.6,1
C3HeB/FeJ,m,33283,,160,,60,200,,,,,,,,,,,,2494,9.60,112,171,0.295,40.2,,,,,5.58,4.40,158,,6,184,263,48.0,1
C3HeB/FeJ,m,33284,,156,,200,200,,,,,,,,,,,,2514,9.60,113,176,0.316,68.2,,,,,4.96,4.40,158,,5.80,188,316,46.8,1.40
C3HeB/FeJ,m,33285,,146,,22,212,,,,,,,,,,,,2542,9.60,112,181,0.295,56,,,,,5.58,4.60,158,,5.80,190,351,49.2,1.80
C3HeB/FeJ,m,33286,,146,,18,198,,,,,,,,,,,,2550,8.80,111,188,0.333,56.4,,,,,4.96,4.40,158,,5.80,189,363,72.6,1
C3HeB/FeJ,m,33287,,262,,28,229,,,,,,,,,,,,2910,9.60,112,184,0.316,42.4,,,,,6.20,4.20,156,,6,184,180,46.0,2.20
C3HeB/FeJ,m,33288,,170,,106,218,,,,,,,,,,,,2512,9.60,114,176,0.316,70.8,,,,,6.82,4.80,160,,5.80,187,304,45.6,2.60
C3HeB/FeJ,m,33559,,,,,,,14.9,,,16,32.5,49.4,1313,9.27,3.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33560,,,,,,,14.1,,,16.1,32.3,49.9,1218,8.80,6,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33561,,,,,,,15.1,,,15.9,32.2,49.4,1262,9.48,5.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33562,,,,,,,13.9,,,16.5,32.1,51.3,1166,8.43,6.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33563,,,,,,,13.4,,,16.2,31.9,50.7,1218,8.28,3.60,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33564,,,,,,,14.8,,,16.3,32.8,49.7,1182,9.12,3.90,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33565,,,,,,,13.5,,,16.1,32.9,49,1137,8.37,7.20,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33566,,,,,,,14.7,,,16.2,32.6,49.5,1167,9.08,5.30,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33567,,,,,,,14.3,,,16,31.9,50.3,1346,8.90,4.80,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33568,,,,,,,14.2,,,15.9,31.8,50,1148,8.97,4.90,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33569,,,,,,,14.5,,,16.2,32.5,49.8,1291,8.94,4.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33570,,,,,,,14.8,,,16.4,33,49.6,1099,9.50,5.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33571,,,,,,,14.7,,,16.5,33.5,49.1,1183,8.90,4.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33572,,,,,,,13.9,,,16.1,32.8,49.2,1259,8.61,3.40,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33573,,,,,,,14.9,,,16.2,33.2,48.8,915,9.20,8.70,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33574,,,,,,,15.6,,,16.3,32.6,49.8,1397,9.60,5.50,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33575,,,,,,,15.7,,,16.8,33.7,49.7,1287,9.38,6.80,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33576,,,,,,,14.7,,,16.7,33.2,50.1,1239,8.85,6.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33577,,,,,,,15.3,,,16.5,33,49.9,1178,9.32,5.10,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33578,,,,,,,15,,,16.2,32.9,49.1,1240,9.28,4.70,,,,,,,,,,,,,,,,,,,,
C3HeB/FeJ,m,33924,,,,,,,15.2,,,16,31.7,50,722,9.50,8.20,,,,,,,,,,,,,,,,,,,,
