strain,sex,animal_id,sodium,potassium,chloride,calcium,anion_gap,carbon_dioxide,GLU,GLU_fast,BUN,creatinine,WBC,LYM,pct_LYM,MONO,pct_MONO,GRA,pct_GRA,pct_EOS,RBC,MCV,RDW,MCH,MCHC,hemoglobin,hematocrit,platelets,MPV,testes_wt,litter_size,age_first_litter,duration_to_litter,distance3_OFT,distance10_OFT,transitions_OFT,center1_OFT,center10_OFT,distance_center_OFT,pct_center_OFT,latency_periphery_OFT,duration_periphery_OFT,immobile_OFT,fecal_boli_OFT,urination_OFT,duration_light_LD,distance_light_LD,pct_light_LD,latency_dark_LD,transitions_LD,fecal_boli_LD,urination_LD,capture_score,hold_score,wildness_score,tail_clip,hot_plate,pct_sleep_daily,pct_sleep_dark,pct_daily_deprivation,pct_dark_deprivation,act_dark_deprivation,body_weight,body_length,tail_length,gonad_fat_wt,bone_circumference,brain_wt,heart_wt,kidneyL_length,kidneyR_length,kidney_vol,kidneyL_wt,kidneyR_wt,kidney_both_wt,spleen_wt
A/J,m,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,100,67,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,69,34,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,70,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,9.5,0.263,,,,,,,,,,
A/J,m,76,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.47,,9.5,0.356,,,0.128,,,,0.203,,,
A/J,m,77,147,6.2,118,1.16,14,22,133,,21,0.2,7.97,3.7,47.6,0.8,10.3,3.5,42.1,12.2,9.16,49,13.94,14.91,30.61,13.66,44.61,639,5.46,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,60,16.14,39.85,25.80,36.38,26.56,-6.05,26.6,,,,,,,,,,,,,
A/J,m,78,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79,,9.1,0.446,,,0.122,,,,0.213,,,
A/J,m,79,148,7.1,120,1.11,16,20,134,,20,0.2,6.37,2.7,43.5,0.5,9.1,3.2,47.4,12.9,9.4,47,13.82,14.01,29.95,13.17,43.96,654,5.41,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,60,4.685,32.87,18.72,29.14,19.76,-4.05,,,,,,,,,,,,,,
A/J,m,80,145,6.8,118,1.12,14,21,148,,22,0.2,8.5,3.2,38.5,0.7,9.3,4.6,52.2,18,10.3,46,14.04,14.11,30.38,14.52,47.81,700,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,30.64,8.025,,,,,,,,,,,,,,,,,,,
A/J,m,81,149,6.4,121,1.08,17,19,127,,17,0.2,10.33,4.1,40.4,1.1,10.7,5.1,48.9,18.8,8.6,48,14.7,14.28,29.6,12.27,41.47,401,6.49,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,60,5.56,32.29,23.47,29.05,22.93,-4.74,,,,,,,,,,,,,,
A/J,m,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
A/J,m,83,,,,,,,,,,,6.34,3.4,54.5,0.6,10.8,2.3,34.7,9.4,7.92,47,12.22,18.68,39.97,14.79,37.01,594,5.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/J,m,84,,,,,,,,,,,14.51,6.4,44.6,1.5,10.4,6.6,45,17.5,8.18,47,12.35,17.96,38.6,14.69,38.05,318,6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,63,49,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,82,68,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,65,36,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,71,42,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,63,34,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,69,42,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,69,42,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,71,36,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
C57BL/6J,f,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,75,39,,,,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,
